pipeline,best_params,cv_auprc,cv_auroc
none|logreg_l1,{'clf__C': 0.05},0.5986577042427869,0.7915479582146249
ros|logreg_l1,{'clf__C': 0.05},0.5807798701174326,0.7962531295864629
rus|logreg_l1,{'clf__C': 0.1},0.5650712660721976,0.7792022792022794
smote|logreg_l1,{'clf__C': 0.05},0.5504842895722962,0.7964257964257965
ros|rf,{'clf__max_depth': 8},0.5009730376587015,0.7620650953984288
none|rf,{'clf__max_depth': 8},0.4886877712101912,0.7636622636622638
smote|rf,{'clf__max_depth': 16},0.4499444420537578,0.7707200207200208
rus|rf,{'clf__max_depth': 8},0.4221401933185843,0.7625399292065959
